Level	Label	1	2	3	4	5	6	7	8
3	Time to Incorporate to Nest Test (TINT)			Time to Incorporate to Nest Test (TINT)					
3	animal stress			animal stress					
3	distress			distress					
3	anesthesia			anesthesia					
4	anesthesia reversal				anesthesia reversal				
4	depth of anesthesia				depth of anesthesia				
4	electronarcosis				electronarcosis				
4	preanesthetic medication				preanesthetic medication				
3	analgesia			analgesia					
3	signs and symptoms (animals and humans)			signs and symptoms (animals and humans)					
4	apnea				apnea				
4	asphyxia				asphyxia				
4	bloat				bloat				
4	cankers (animals)				cankers (animals)				
4	cough				cough				
4	dysoxia				dysoxia				
4	dyspnea				dyspnea				
4	edema				edema				
4	flatulence				flatulence				
4	halitosis				halitosis				
4	hypercapnia				hypercapnia				
4	hyperoxia				hyperoxia				
4	hypoxia				hypoxia				
4	indigestion				indigestion				
4	jaundice				jaundice				
4	lameness				lameness				
4	leg weakness				leg weakness				
4	lesions (animal)				lesions (animal)				
4	nausea				nausea				
4	pain				pain				
4	paralysis				paralysis				
4	paresis				paresis				
4	pruritis				pruritis				
4	seizures				seizures				
4	steatorrhea				steatorrhea				
4	swelling (physiological)				swelling (physiological)				
4	unconsciousness				unconsciousness				
4	vomiting				vomiting				
3	analgesics			analgesics					
4	acetaminophen				acetaminophen				
4	aspirin				aspirin				
4	amantadine				amantadine				
4	buprenorphine				buprenorphine				
4	butorphanol				butorphanol				
4	dexmedetomidine				dexmedetomidine				
4	etorphine				etorphine				
4	flunixin				flunixin				
4	gabapentin				gabapentin				
4	hydromorphone				hydromorphone				
4	maropitant				maropitant				
4	medetomidine				medetomidine				
4	meloxicam				meloxicam				
4	methadone				methadone				
4	morphine				morphine				
4	robenacoxib				robenacoxib				
4	romifidine				romifidine				
4	tramadol				tramadol				
4	xylazine				xylazine				
3	anesthetics			anesthetics					
4	alfaxalone				alfaxalone				
4	diazepam				diazepam				
4	droperidol				droperidol				
4	fentanyl				fentanyl				
4	general anesthetics				general anesthetics				
4	inhalation anesthetics				inhalation anesthetics				
5	chloroform					chloroform			
5	desflurane					desflurane			
5	ethyl ether					ethyl ether			
5	halothane					halothane			
5	isoflurane					isoflurane			
5	methoxyflurane					methoxyflurane			
5	sevoflurane					sevoflurane			
5	trichloroethane					trichloroethane			
4	ketamine				ketamine				
4	local anesthetics				local anesthetics				
5	lidocaine					lidocaine			
4	propofol				propofol				
4	tiletamine				tiletamine				
4	urethane				urethane				
3	anti-inflammatory agents			anti-inflammatory agents					
4	acetaminophen				acetaminophen				
4	aspirin				aspirin				
4	betamethasone				betamethasone				
4	dexamethasone				dexamethasone				
4	flunixin				flunixin				
4	meloxicam				meloxicam				
4	methylprednisolone				methylprednisolone				
4	nonsteroidal anti-inflammatory agents				nonsteroidal anti-inflammatory agents				
5	carprofen					carprofen			
5	deracoxib					deracoxib			
5	etodolac					etodolac			
5	firocoxib					firocoxib			
5	grapiprant					grapiprant			
5	ibuprofen					ibuprofen			
5	ketoprofen					ketoprofen			
5	Mavacoxib					Mavacoxib			
5	meclofenamic acid					meclofenamic acid			
5	metamizole					metamizole			
5	Naproxen					Naproxen			
5	phenylbutazone					phenylbutazone			
5	Robenacoxib					Robenacoxib			
5	Tepoxalin					Tepoxalin			
5	tolfenamic acid					tolfenamic acid			
5	vedaprofen					vedaprofen			
4	prednisolone				prednisolone				
4	prednisone				prednisone				
4	triamcinolone				triamcinolone				
3	cholinergic agents			cholinergic agents					
3	narcotics			narcotics					
3	psychotropic agents			psychotropic agents					
4	tranquilizers				tranquilizers				
3	reversal agents			reversal agents					
